GSM862051,GSM862052,GSM862053,GSM862054,GSM862055,GSM862056,GSM862057,GSM862058,GSM862059,GSM862060,GSM862061,GSM862062,GSM862063,GSM862064,GSM862065,GSM862066,GSM862067,GSM862068,GSM862069,GSM862070,GSM862071,GSM862072,GSM862073,GSM862074,GSM862075,GSM862076,GSM862077,GSM862078,GSM862079,GSM862080,GSM862081,GSM862082,GSM862083,GSM862084,GSM862085,GSM862086,GSM862087,GSM862088,GSM862089,GSM862090,GSM862091,GSM862092,GSM862093,GSM862094,GSM862095,GSM862096,GSM862097,GSM862098,GSM862099,GSM862100,GSM862101,GSM862102,GSM862103,GSM862104,GSM862105,GSM862106,GSM862107
6.259002373,6.225850035,6.359321289,6.389090915,6.238099507,6.19432446,6.482588756,6.450743939,6.319644386,6.411816,6.358387086,6.521152145,6.185246575,6.330515117,6.40503733,6.412778356,6.254189636,6.595713346,6.305510951,6.126636671,6.467997156,6.415128513,6.335879541,6.217482194,6.289760606,6.321035527,6.495878941,6.259488555,6.295970227,6.470630229,6.325415608,6.228979217,6.508926505,6.220938165,6.376814464,6.286363946,6.361835839,6.489026794,6.526606722,6.400587024,6.343434952,6.310906543,6.293043938,6.210685944,6.352083983,6.37632001,6.169107783,6.400331952,6.169119162,6.358071236,6.337566533,6.47450966,6.261016999,6.457819295,6.291982398,6.297703224,6.622850482
6.51829443,6.311038223,6.465952572,6.422145406,6.218907994,6.346090991,6.560833082,6.508629496,6.419782912,6.435893203,6.403895554,6.313348991,6.476688283,6.341339381,6.42252424,6.494748977,6.394558768,6.504296358,6.481732648,6.318342594,6.617685239,6.23293099,6.380157141,6.419081583,6.441140813,6.377704288,6.387738732,6.411726939,6.295007324,6.28293385,6.373638767,6.36156992,6.409481145,6.396174949,6.518923855,6.3442621,6.430200616,6.380517758,6.64690665,6.314335841,6.530352712,6.342714205,6.425872934,6.348523703,6.239500068,6.461793628,6.389436938,6.527218541,6.310210675,6.302333813,6.297211071,6.410883354,6.444749041,6.400472388,6.351904985,6.571879541,6.333354667
6.514273328,6.060762685,6.395406393,6.554235639,6.305389669,6.401553552,7.390919723,9.507110638,10.26234118,10.86065492,6.401656018,6.351482701,6.256130188,6.159394791,6.208845217,7.477758613,9.81590176,10.23077897,9.779827861,6.902952609,7.31644289,7.480088637,7.125048579,6.564105348,6.418795574,7.105115921,9.649445481,10.36168224,10.23674305,7.631934699,7.238107618,6.875153613,6.602352696,6.644181727,7.580911198,9.460317193,9.849465103,10.32757783,6.194992988,6.425576685,6.225059536,6.309477973,6.189119882,6.511872345,7.595488624,9.754883492,10.81709374,10.63314751,6.551067639,6.421045719,6.230374954,6.42926638,6.302309375,7.775588104,9.733909752,10.38157106,10.44473395
6.179154419,6.165751768,6.272661001,6.24580603,6.220289311,6.10478534,6.676726432,6.003939397,6.299779748,6.178557922,6.224204005,6.17809581,6.195391937,6.286465585,6.22267767,6.389626498,6.077539971,6.14253712,6.185903315,6.117750702,6.038012111,6.2397059,6.2508301,6.295370111,6.105860114,6.114849889,6.22230172,6.115204902,6.38718854,6.120909401,6.163058488,6.127100074,6.07529767,5.983752654,6.392926873,5.837928847,6.185800827,6.231904736,6.162132093,6.274441529,6.298579823,6.196423057,6.30513077,6.175519718,6.119552589,6.169412405,6.114819254,6.211537033,6.162504757,6.224725499,6.148974012,6.063793135,6.107785398,6.046821408,6.11171952,6.211159809,6.273350588
6.27898363,6.253190416,6.166231668,6.195255618,6.044351825,6.302468497,6.160614898,6.226446563,5.967593265,6.467147252,6.148147258,6.259147153,6.088053756,6.102916692,6.358878104,6.134636779,6.19010194,6.144371187,6.263144755,6.193167752,6.170511366,6.264906679,6.150167321,6.273749416,6.204981755,6.357825347,6.133737773,6.214178292,6.173313254,6.129277375,6.242479357,6.144424979,6.125819494,6.229611124,6.35042991,6.13689453,6.14050551,6.228664667,6.179243864,6.324696907,6.185522537,6.237064468,6.407405402,6.240878021,6.075022516,6.266821399,6.095348447,6.12705496,6.200346639,6.232541181,5.9585921,5.995580392,6.112164727,6.187102552,6.083308156,6.099103992,6.296613101
6.403078367,6.006498974,5.980424552,6.052033636,6.121368016,6.150636348,6.089855434,6.11798436,6.189311693,6.140549436,6.067820851,6.350805976,6.192608671,6.19195586,6.322214365,6.342703495,6.254417567,6.207295888,6.068572786,5.999177846,6.2404267,6.320017573,6.316571997,6.274227946,6.340849674,6.245019176,6.118210831,6.271352594,6.121932005,6.174428897,6.126666035,6.272776232,6.327147898,6.256890484,6.285651743,6.225759358,5.992819911,6.143897224,6.186499651,6.244071658,6.108107714,6.095462424,6.017089468,6.383494526,6.325735375,6.234709651,6.343960083,6.192154874,6.256093651,5.977579811,6.240800484,6.260846443,5.920443427,6.325090193,6.337248794,6.137242466,6.19660354
9.732487731,9.561874058,9.074862648,8.825164097,7.472169433,8.597383706,7.141362643,8.425987933,8.525400628,9.087157871,9.535799893,9.312625267,8.271145866,7.512586772,8.870361325,7.070639108,8.392599935,8.342674349,8.139607261,9.781988104,10.11374523,9.370161748,8.50173846,7.737434909,8.650404503,8.097724097,8.585823705,8.600161644,8.972530701,9.334619227,9.249960566,8.344290042,7.555171255,8.77320339,7.552396378,8.396212665,8.332145345,8.512446674,9.94178996,9.298740193,9.099787848,8.252302991,7.368397417,7.901501037,7.385310237,8.346787593,8.455982163,8.480225874,9.760394363,9.126654506,8.179612195,8.573123257,8.578066267,7.440841755,8.602938647,7.919856512,8.071199233
6.059598812,6.19192898,6.229395684,6.042109326,6.453607568,6.335539591,6.251347797,6.190040557,6.370054439,6.6016987,5.998922662,6.092467601,6.101365447,6.106252834,6.110657945,6.677309894,6.445228905,6.452757954,6.312033327,6.207144841,6.113053056,6.32764782,6.156062393,6.139837756,6.170419956,6.451838544,6.322732364,6.358904778,6.409668179,5.95874282,6.121053742,6.23137269,5.947128918,6.175722698,6.218967247,6.303923916,6.122356949,5.948136366,6.307673208,6.233379967,6.009236358,6.370202403,6.356458032,6.377753344,6.567448703,6.126063083,6.258355786,6.44679487,6.269854108,6.288732062,6.1218877,6.145600392,6.226722879,6.327330337,6.169467763,6.180464326,6.009164173
6.193831013,6.03676674,6.075354793,6.067003984,6.22024561,6.179838277,6.176731875,6.014060225,5.889084853,6.166809704,5.997664111,6.126622895,5.999549823,6.1207511,6.162757083,6.162599146,6.113606003,5.982279835,6.144156418,6.137380035,6.030872334,6.130829473,5.998345162,6.180427087,6.245748224,6.02145852,6.044419603,6.225162154,6.068034796,5.959146961,5.933413849,6.193224412,5.803457828,6.08187056,6.30884766,6.300081387,6.022433239,6.162051889,6.077662689,6.296623035,6.043883428,6.016444857,6.035970409,6.03006954,6.093060757,6.285763415,6.128898488,6.244581584,6.273828539,6.117615483,6.076001381,6.082434974,6.094737299,6.064538237,6.23877804,6.205228301,6.253244969
10.5410679,11.14928776,12.02198838,12.41753014,13.29735837,13.74381074,13.73641597,13.96658514,14.30007024,14.17272512,10.89784363,11.85216112,12.42648707,13.45832079,13.78750083,14.10686495,14.11888559,14.26923618,14.30007024,10.60048187,11.1882403,11.97645988,12.22514551,12.79292435,13.100129,13.12400047,13.87675884,14.29091654,14.2233993,11.23524149,12.10344103,12.96526508,13.46635495,13.53997351,13.46635495,13.79674352,14.11888559,14.19371177,10.92507484,10.63314751,11.37656421,12.55383094,12.91449195,13.11831009,13.52106751,13.53123783,13.78750083,13.76058896,10.88408864,11.34658099,12.38139615,12.12326352,13.03707936,13.76863818,13.86796611,13.95631689,13.42351295
